Population_Members,Peak_Flow (CFS),Total_Runoff_Volume (1000*CF),Total_Costs $,Social_Context_Score,MultiObjectiveRating,,
childZBQTP5Pgen13,352.383,3791.8944,24976174.73,1667.933438,3.146902646,,
childLU3GXVEgen16,355.1055,3804.228,24527777.63,1669.170485,3.158894082,,
child6Z7XTGKgen12,351.2335,3800.4273,24952419.67,1670.004571,3.145712096,,
child9WN28R2gen15,352.726,3795.5484,24714684.29,1670.139996,3.149081846,,
childJA5OQHNgen13,351.4095,3813.273,24904682.41,1670.258815,3.149785764,,
childGNNWEYFgen12,349.6795,3814.5015,24946552.34,1670.400742,3.144684672,,
childNV9JEA6gen18,354.554,3783.0186,24970875.24,1670.435416,3.151425142,,
child02A0BTOgen15,352.125,3781.4337,24609158.76,1670.93473,3.143372961,,
childIL4WGYMgen15,351.533,3804.7248,24711274.47,1671.21278,3.147883973,,
childY5NBLYHgen13,351.0645,3782.0565,24826351.56,1671.378863,3.140226909,,
childBFKS5TIgen15,350.6105,3797.6832,24718768.63,1671.79443,3.143085338,,
child2PURHJ5gen14,352.736,3808.4508,24695896.52,1671.838016,3.152715514,,
child563DL6Fgen14,352.1375,3805.8444,24826638.82,1672.194312,3.150137113,,
childY6H3PAGgen11,353.202,3784.3434,24910706.64,1672.475666,3.147627504,,
childOY8EFT4gen13,351.8065,3818.0367,24845294.18,1672.613042,3.152444757,,
childFEUOYOSgen17,354.924,3812.9067,24573803.72,1673.310553,3.160884737,,
childYKX82BTgen18,355.3455,3797.3673,24753982.24,1673.370088,3.157969877,,
child3C6RYQDgen16,354.356,3774.2301,24877934.11,1673.65469,3.148550999,,
childLX91QHXgen19,352.6445,3797.4771,24613257.15,1674.012252,3.149531324,,
child8V8Z48Ogen14,352.3005,3835.5876,24789508.17,1674.659433,3.158886872,,
childYUQAMTBgen15,350.8955,3806.2287,24934065.95,1675.292809,3.14647769,,
childYKN0ATYgen12,351.811,3777.8904,24750390.16,1675.622256,3.141634242,,
childPPWA4BRgen16,352.2795,3800.5983,24537445.71,1676.066561,3.149330365,,
